lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
6,0,90.0,5,17,3,1,0,0,0,1
2,1,90.47,4,1,4,2,0,0,0,1
128,0,132.3,10,11,4,5,0,0,3,0
29,2,139.0,10,21,4,2,0,0,0,1
77,0,97.02,3,26,4,5,2,0,3,0
71,0,126.9,6,9,4,1,0,0,0,0
22,2,95.0,9,3,4,2,0,0,0,1
91,1,58.9,4,9,4,1,1,3,0,1
136,1,138.76,12,26,4,3,1,1,3,0
5,1,58.88,2,8,4,3,1,3,0,1
173,1,84.43,9,1,4,3,1,3,0,1
131,0,137.19,7,30,4,6,2,0,3,0
0,2,90.0,8,6,4,1,0,0,0,1
84,0,96.3,7,17,4,3,2,3,0,0
116,2,117.06,6,16,4,5,2,0,0,1
207,2,76.5,8,21,4,3,2,0,0,1
55,0,109.35,5,30,4,2,1,0,0,0
110,1,70.0,12,9,3,4,0,0,0,1
145,1,76.5,8,9,4,1,2,0,0,0
62,0,68.0,12,25,3,3,2,0,0,1
76,1,87.3,4,1,4,2,0,0,0,1
94,0,134.1,8,5,4,2,1,0,0,0
3,1,65.0,3,20,2,0,2,0,0,1
133,0,122.63,10,31,4,3,1,0,3,0
105,2,129.6,9,7,4,4,0,0,0,1
2,0,75.0,12,11,3,1,0,0,0,1
0,0,123.0,10,20,2,3,0,0,0,1
130,2,103.56,7,16,4,1,2,0,0,1
0,1,0.0,6,9,4,1,0,3,0,1
169,2,101.25,7,30,4,3,2,0,0,0
149,0,127.5,7,20,4,3,0,0,0,0
82,1,81.9,4,1,4,2,1,0,0,1
23,1,75.0,10,21,3,3,0,0,3,1
23,0,98.0,4,8,4,1,0,3,0,1
24,1,81.7,10,4,4,4,2,0,3,1
12,1,171.33,9,18,4,1,2,0,0,1
72,3,105.3,4,14,4,3,0,0,0,1
73,1,100.0,9,15,2,1,0,3,0,0
204,0,100.0,5,5,3,3,0,0,0,0
49,1,108.8,3,21,4,3,1,0,0,0
0,0,124.0,9,9,4,1,0,0,0,1
62,0,96.23,9,4,4,2,2,0,1,0
4,1,92.65,2,15,3,3,1,0,0,1
275,0,106.2,10,1,4,1,2,0,0,0
102,0,109.0,10,16,3,2,0,1,0,1
30,0,121.0,9,30,3,2,0,1,0,1
64,0,130.0,5,17,2,2,0,0,0,1
79,1,85.5,7,15,4,4,0,0,0,0
20,0,101.2,9,24,4,2,2,3,0,1
126,2,146.7,7,23,4,1,0,0,3,1
36,0,112.0,10,13,3,3,0,1,0,1
11,1,70.3,1,24,4,0,2,0,0,1
168,0,85.0,4,22,3,2,1,0,0,0
44,0,75.0,2,17,3,3,0,0,0,1
92,0,85.5,8,17,4,1,1,0,0,1
239,0,112.2,6,15,3,2,0,1,0,0
135,1,99.9,5,6,4,2,0,0,0,1
185,1,94.5,7,23,4,1,1,3,0,0
4,0,72.8,2,13,3,1,0,0,0,1
35,1,82.45,1,29,4,2,1,0,3,1
7,1,86.0,3,2,4,1,0,0,0,1
0,1,139.5,10,12,4,2,0,0,3,1
19,1,151.0,7,1,4,2,1,0,0,1
61,1,72.24,10,26,3,1,1,0,0,1
50,1,97.2,11,4,4,1,0,0,0,1
5,0,95.0,11,7,0,2,1,0,3,0
50,0,71.33,12,31,3,3,0,0,0,1
62,2,93.6,11,22,4,3,0,0,0,1
56,1,74.8,11,12,4,3,2,3,0,1
3,0,75.0,7,11,3,1,0,0,0,1
35,1,83.9,3,3,4,3,1,0,0,1
5,1,86.6,11,17,3,2,0,0,0,1
263,0,67.0,9,21,3,0,1,0,0,1
127,1,79.2,11,13,4,1,2,3,0,0
111,1,115.6,11,21,4,5,1,0,3,0
323,1,112.0,5,17,3,4,0,1,0,0
6,0,65.0,10,10,3,1,2,0,0,1
49,0,93.15,7,11,4,0,1,3,0,0
276,0,61.0,5,13,4,3,2,0,0,0
65,1,68.85,7,10,4,2,0,0,0,0
19,0,6.0,11,7,4,1,1,0,3,1
247,1,115.0,6,6,3,1,1,1,0,0
232,2,167.95,8,22,4,4,1,0,5,0
21,1,117.0,10,8,4,1,0,0,3,0
159,0,70.5,12,29,3,4,0,0,0,1
217,3,76.5,8,7,4,1,0,0,1,1
61,0,74.8,11,16,4,4,0,3,0,0
31,0,75.0,9,16,3,2,1,0,0,0
126,1,114.3,7,8,4,1,0,0,0,1
7,1,68.8,12,19,3,0,1,0,0,1
23,2,160.5,6,17,4,2,0,0,3,1
289,0,67.0,10,17,3,1,0,0,0,1
200,1,96.9,8,9,3,3,0,0,0,0
22,0,71.0,11,17,2,1,0,0,0,1
14,2,131.43,10,13,4,5,2,0,0,1
4,0,79.0,11,29,2,1,0,0,0,1
60,1,135.9,9,10,4,2,2,0,0,0
102,1,86.82,4,27,4,5,2,3,0,1
98,0,94.5,7,12,4,1,0,3,0,0
60,1,90.9,3,31,4,2,0,0,0,1
97,0,84.43,5,1,4,4,2,3,0,0
145,0,114.3,7,30,4,1,1,0,0,0
64,1,94.5,7,25,4,3,1,3,0,1
223,2,128.7,10,29,4,1,2,0,3,0
4,1,167.0,8,13,4,1,0,3,0,1
138,1,109.8,8,5,4,2,0,0,0,1
2,0,169.0,9,21,2,1,0,0,0,0
171,1,105.3,7,14,4,3,0,0,0,0
144,1,97.85,8,31,4,4,1,0,0,1
183,2,83.5,10,31,4,3,1,0,1,1
119,0,121.5,7,27,4,3,0,0,0,0
79,0,76.5,3,21,4,2,1,3,0,1
3,0,65.0,5,16,2,1,1,0,0,1
32,0,131.4,4,1,4,2,1,0,3,0
20,2,107.0,10,7,4,2,0,0,0,1
2,0,107.0,3,18,2,1,0,0,0,1
161,0,130.0,3,25,3,2,1,1,0,0
45,2,86.4,12,8,4,3,0,0,0,1
257,0,101.5,7,1,3,2,0,1,0,0
72,1,72.25,11,13,4,2,0,0,0,0
2,0,94.5,8,1,3,1,2,1,0,0
230,0,137.0,9,6,3,5,0,1,0,0
46,1,67.15,3,10,4,3,1,3,0,1
94,0,139.5,7,28,4,1,0,1,0,1
18,2,139.0,11,3,4,3,0,0,3,1
3,1,125.67,8,24,4,3,0,3,0,1
192,1,94.5,8,9,4,3,0,0,0,0
35,0,81.9,3,7,4,2,1,0,0,0
14,1,107.67,11,18,4,2,1,0,0,1
162,0,70.0,9,17,3,3,0,0,0,1
57,2,126.9,5,21,4,1,1,0,0,1
143,0,100.0,8,25,3,3,0,0,0,1
31,2,89.4,5,21,4,1,0,3,0,1
25,3,181.0,7,29,4,1,0,0,5,1
0,0,160.0,9,27,2,1,0,0,0,1
0,1,126.0,6,22,4,1,0,0,3,1
2,1,160.0,7,7,4,3,1,0,0,1
220,1,115.6,9,16,3,2,1,0,3,0
