no_of_previous_bookings_not_canceled,room_type_reserved,Booking_ID,no_of_children,repeated_guest,no_of_special_requests,no_of_adults,arrival_year,no_of_week_nights,type_of_meal_plan,booking_status,required_car_parking_space,market_segment_type,avg_price_per_room,arrival_date,no_of_weekend_nights,arrival_month,lead_time,no_of_previous_cancellations
0,Room_Type 1,INN30738,0,0,0,1,2018,1,Meal Plan 1,Not_Canceled,0,Offline,90,17,0,5,6,0
0,Room_Type 1,INN02831,0,0,1,3,2018,2,Meal Plan 1,Not_Canceled,0,Online,90.47,1,0,4,2,0
0,Room_Type 4,INN02284,0,0,0,2,2018,5,Meal Plan 1,Canceled,0,Online,132.3,11,0,10,128,0
0,Room_Type 1,INN33452,0,0,2,2,2018,2,Meal Plan 1,Not_Canceled,0,Online,139,21,0,10,29,0
0,Room_Type 4,INN13001,0,0,0,2,2018,5,Meal Plan 1,Canceled,0,Online,97.02,26,2,3,77,0
0,Room_Type 1,INN05316,0,0,0,2,2018,1,Meal Plan 1,Canceled,0,Online,126.9,9,0,6,71,0
0,Room_Type 1,INN08594,0,0,2,1,2017,2,Meal Plan 1,Not_Canceled,0,Online,95,3,0,9,22,0
0,Room_Type 1,INN14374,0,0,1,2,2018,1,Not Selected,Not_Canceled,0,Online,58.9,9,1,4,91,0
0,Room_Type 4,INN18690,0,0,1,2,2018,3,Meal Plan 2,Canceled,0,Online,138.76,26,1,12,136,0
0,Room_Type 1,INN05820,1,0,1,2,2018,3,Not Selected,Not_Canceled,0,Online,58.88,8,1,2,5,0
0,Room_Type 1,INN04479,0,0,1,2,2018,3,Not Selected,Not_Canceled,0,Online,84.43,1,1,9,173,0
0,Room_Type 4,INN10300,0,0,0,3,2018,6,Meal Plan 1,Canceled,0,Online,137.19,30,2,7,131,0
0,Room_Type 1,INN34416,0,0,2,2,2017,1,Meal Plan 1,Not_Canceled,0,Online,90,6,0,8,0,0
0,Room_Type 1,INN34023,0,0,0,2,2018,3,Not Selected,Canceled,0,Online,96.3,17,2,7,84,0
0,Room_Type 1,INN21552,0,0,2,2,2018,5,Meal Plan 1,Not_Canceled,0,Online,117.06,16,2,6,116,0
0,Room_Type 1,INN02923,0,0,2,2,2017,3,Meal Plan 1,Not_Canceled,1,Online,76.5,21,2,8,207,0
0,Room_Type 1,INN05474,0,0,0,1,2018,2,Meal Plan 1,Canceled,0,Online,109.35,30,1,5,55,0
0,Room_Type 1,INN08787,0,0,1,2,2017,4,Meal Plan 1,Not_Canceled,0,Offline,70,9,0,12,110,0
0,Room_Type 1,INN04468,0,0,1,2,2017,1,Meal Plan 1,Canceled,0,Online,76.5,9,2,8,145,0
0,Room_Type 1,INN23090,0,0,0,2,2018,3,Meal Plan 1,Not_Canceled,0,Offline,68,25,2,12,62,0
0,Room_Type 1,INN00226,0,0,1,2,2018,2,Meal Plan 1,Not_Canceled,0,Online,87.3,1,0,4,76,0
0,Room_Type 1,INN23453,1,0,0,2,2018,2,Meal Plan 1,Canceled,0,Online,134.1,5,1,8,94,0
17,Room_Type 1,INN31232,0,1,1,1,2018,0,Meal Plan 1,Not_Canceled,0,Corporate,65,20,2,3,3,0
0,Room_Type 4,INN09694,0,0,0,3,2018,3,Meal Plan 1,Canceled,0,Online,122.63,31,1,10,133,0
0,Room_Type 1,INN33366,0,0,2,2,2018,4,Meal Plan 1,Not_Canceled,0,Online,129.6,7,0,9,105,0
0,Room_Type 1,INN07811,0,0,0,1,2017,1,Meal Plan 1,Not_Canceled,0,Offline,75,11,0,12,2,0
0,Room_Type 1,INN08829,0,0,0,2,2017,3,Meal Plan 1,Not_Canceled,0,Corporate,123,20,0,10,0,0
0,Room_Type 1,INN26145,1,0,2,2,2018,1,Meal Plan 1,Not_Canceled,0,Online,103.56,16,2,7,130,0
0,Room_Type 1,INN32475,0,0,1,1,2018,1,Not Selected,Not_Canceled,0,Online,0,9,0,6,0,0
0,Room_Type 1,INN05339,0,0,2,2,2018,3,Meal Plan 1,Canceled,1,Online,101.25,30,2,7,169,0
0,Room_Type 1,INN06308,1,0,0,2,2018,3,Meal Plan 1,Canceled,0,Online,127.5,20,0,7,149,0
0,Room_Type 1,INN19212,0,0,1,1,2018,2,Meal Plan 1,Not_Canceled,0,Online,81.9,1,1,4,82,0
0,Room_Type 4,INN29399,0,0,1,2,2017,3,Meal Plan 1,Not_Canceled,0,Offline,75,21,0,10,23,0
0,Room_Type 1,INN00405,0,0,0,2,2018,1,Not Selected,Not_Canceled,0,Online,98,8,0,4,23,0
0,Room_Type 4,INN09974,0,0,1,2,2017,4,Meal Plan 1,Not_Canceled,0,Online,81.7,4,2,10,24,0
0,Room_Type 1,INN15719,0,0,1,2,2018,1,Meal Plan 1,Not_Canceled,0,Online,171.33,18,2,9,12,0
0,Room_Type 1,INN33553,0,0,3,2,2018,3,Meal Plan 1,Not_Canceled,0,Online,105.3,14,0,4,72,0
0,Room_Type 1,INN17559,0,0,1,2,2018,1,Not Selected,Canceled,0,Corporate,100,15,0,9,73,0
0,Room_Type 1,INN23356,0,0,0,2,2018,3,Meal Plan 1,Canceled,0,Offline,100,5,0,5,204,0
0,Room_Type 1,INN17565,1,0,1,2,2018,3,Meal Plan 1,Canceled,0,Online,108.8,21,1,3,49,0
0,Room_Type 1,INN33496,0,0,0,2,2017,1,Meal Plan 1,Not_Canceled,0,Online,124,9,0,9,0,0
0,Room_Type 2,INN12773,0,0,0,2,2018,2,Meal Plan 1,Canceled,0,Online,96.23,4,2,9,62,0
0,Room_Type 1,INN15432,0,0,1,3,2018,3,Meal Plan 1,Not_Canceled,0,Offline,92.65,15,1,2,4,0
0,Room_Type 1,INN20028,0,0,0,2,2018,1,Meal Plan 1,Canceled,0,Online,106.2,1,2,10,275,0
0,Room_Type 1,INN31072,0,0,0,2,2017,2,Meal Plan 2,Not_Canceled,0,Offline,109,16,0,10,102,0
0,Room_Type 1,INN31439,0,0,0,2,2017,2,Meal Plan 2,Not_Canceled,0,Offline,121,30,0,9,30,0
0,Room_Type 1,INN29174,0,0,0,1,2018,2,Meal Plan 1,Not_Canceled,0,Corporate,130,17,0,5,64,0
0,Room_Type 1,INN04192,0,0,1,2,2017,4,Meal Plan 1,Canceled,0,Online,85.5,15,0,7,79,0
0,Room_Type 1,INN26660,0,0,0,2,2018,2,Not Selected,Not_Canceled,0,Online,101.2,24,2,9,20,0
0,Room_Type 4,INN02467,0,0,2,3,2018,1,Meal Plan 1,Not_Canceled,1,Online,146.7,23,0,7,126,0
0,Room_Type 1,INN15194,0,0,0,2,2017,3,Meal Plan 2,Not_Canceled,0,Offline,112,13,0,10,36,0
0,Room_Type 1,INN32267,0,0,1,1,2018,0,Meal Plan 1,Not_Canceled,0,Online,70.3,24,2,1,11,0
0,Room_Type 1,INN14335,0,0,0,2,2018,2,Meal Plan 1,Canceled,0,Offline,85,22,1,4,168,0
0,Room_Type 1,INN26525,0,0,0,2,2018,3,Meal Plan 1,Not_Canceled,0,Offline,75,17,0,2,44,0
0,Room_Type 1,INN15555,0,0,0,2,2017,1,Meal Plan 1,Not_Canceled,1,Online,85.5,17,1,8,92,0
0,Room_Type 1,INN34730,0,0,0,2,2018,2,Meal Plan 2,Canceled,0,Offline,112.2,15,0,6,239,0
0,Room_Type 1,INN31597,0,0,1,1,2018,2,Meal Plan 1,Not_Canceled,0,Online,99.9,6,0,5,135,0
0,Room_Type 1,INN24597,0,0,1,2,2018,1,Not Selected,Canceled,0,Online,94.5,23,1,7,185,0
0,Room_Type 1,INN22527,0,0,0,2,2018,1,Meal Plan 1,Not_Canceled,0,Offline,72.8,13,0,2,4,0
0,Room_Type 4,INN05389,0,0,1,2,2018,2,Meal Plan 1,Not_Canceled,0,Online,82.45,29,1,1,35,0
0,Room_Type 1,INN01049,0,0,1,1,2018,1,Meal Plan 1,Not_Canceled,0,Online,86,2,0,3,7,0
0,Room_Type 4,INN21963,0,0,1,2,2018,2,Meal Plan 1,Not_Canceled,0,Online,139.5,12,0,10,0,0
0,Room_Type 1,INN17332,0,0,1,2,2018,2,Meal Plan 1,Not_Canceled,0,Online,151,1,1,7,19,0
0,Room_Type 1,INN20603,0,0,1,2,2017,1,Meal Plan 1,Not_Canceled,0,Offline,72.24,26,1,10,61,0
0,Room_Type 1,INN18111,0,0,1,2,2018,1,Meal Plan 1,Not_Canceled,0,Online,97.2,4,0,11,50,0
0,Room_Type 4,INN18052,0,0,0,1,2018,2,Meal Plan 1,Canceled,0,Aviation,95,7,1,11,5,0
0,Room_Type 1,INN10830,1,0,0,2,2017,3,Meal Plan 1,Not_Canceled,0,Offline,71.33,31,0,12,50,0
0,Room_Type 1,INN31909,0,0,2,2,2018,3,Meal Plan 1,Not_Canceled,0,Online,93.6,22,0,11,62,0
0,Room_Type 1,INN20194,0,0,1,2,2018,3,Not Selected,Not_Canceled,0,Online,74.8,12,2,11,56,0
0,Room_Type 1,INN21007,0,0,0,2,2017,1,Meal Plan 1,Not_Canceled,0,Offline,75,11,0,7,3,0
0,Room_Type 1,INN14590,0,0,1,2,2018,3,Meal Plan 1,Not_Canceled,0,Online,83.9,3,1,3,35,0
0,Room_Type 1,INN15347,0,0,1,2,2017,2,Meal Plan 1,Not_Canceled,0,Offline,86.6,17,0,11,5,0
0,Room_Type 1,INN29878,0,0,0,2,2017,0,Meal Plan 1,Not_Canceled,0,Offline,67,21,1,9,263,0
0,Room_Type 1,INN30651,0,0,1,2,2018,1,Not Selected,Canceled,0,Online,79.2,13,2,11,127,0
0,Room_Type 4,INN35849,0,0,1,3,2018,5,Meal Plan 1,Canceled,0,Online,115.6,21,1,11,111,0
0,Room_Type 1,INN19496,0,0,1,2,2018,4,Meal Plan 2,Canceled,0,Offline,112,17,0,5,323,0
0,Room_Type 1,INN02145,0,0,0,2,2017,1,Meal Plan 1,Not_Canceled,0,Offline,65,10,2,10,6,0
0,Room_Type 1,INN34235,0,0,0,2,2018,0,Not Selected,Canceled,0,Online,93.15,11,1,7,49,0
0,Room_Type 1,INN06563,0,0,0,2,2018,3,Meal Plan 1,Canceled,0,Online,61,13,2,5,276,0
0,Room_Type 1,INN09263,0,0,1,2,2017,2,Meal Plan 1,Canceled,0,Online,68.85,10,0,7,65,0
0,Room_Type 4,INN03763,0,0,0,1,2018,1,Meal Plan 1,Not_Canceled,0,Online,6,7,1,11,19,0
0,Room_Type 1,INN13786,0,0,1,2,2018,1,Meal Plan 2,Canceled,0,Offline,115,6,1,6,247,0
0,Room_Type 6,INN32233,0,0,2,3,2018,4,Meal Plan 1,Canceled,1,Online,167.95,22,1,8,232,0
0,Room_Type 4,INN15411,0,0,1,2,2017,1,Meal Plan 1,Canceled,0,Online,117,8,0,10,21,0
0,Room_Type 1,INN35201,0,0,0,2,2017,4,Meal Plan 1,Not_Canceled,0,Offline,70.5,29,0,12,159,0
0,Room_Type 2,INN11589,0,0,3,2,2017,1,Meal Plan 1,Not_Canceled,0,Online,76.5,7,0,8,217,0
0,Room_Type 1,INN15729,0,0,0,2,2018,4,Not Selected,Canceled,0,Online,74.8,16,0,11,61,0
0,Room_Type 1,INN29748,0,0,0,2,2018,2,Meal Plan 1,Canceled,0,Offline,75,16,1,9,31,0
0,Room_Type 1,INN27054,0,0,1,2,2018,1,Meal Plan 1,Not_Canceled,0,Online,114.3,8,0,7,126,0
